x  f(x)
-6.000000  -0.500667
-5.900000  -0.285977
-5.800000  0.083642
-5.700000  -0.018456
-5.600000  -0.619336
-5.500000  -1.169774
-5.400000  -1.198705
-5.300000  -0.801269
-5.200000  -0.480364
-5.100000  -0.603821
-5.000000  -1.066168
-4.900000  -1.437716
-4.800000  -1.383294
-4.700000  -0.938646
-4.600000  -0.437505
-4.500000  -0.211806
-4.400000  -0.340665
-4.300000  -0.626866
-4.200000  -0.773564
-4.100000  -0.599274
-4.000000  -0.140766
-3.900000  0.398320
-3.800000  0.789141
-3.700000  0.907452
-3.600000  0.781873
-3.500000  0.553515
-3.400000  0.388157
-3.300000  0.394980
-3.200000  0.587902
-3.100000  0.895989
-3.000000  1.206056
-2.900000  1.412006
-2.800000  1.450316
-2.700000  1.312595
-2.600000  1.037274
-2.500000  0.689108
-2.400000  0.336417
-2.300000  0.033473
-2.200000  -0.188584
-2.100000  -0.322531
-2.000000  -0.379994
-1.900000  -0.383662
-1.800000  -0.359504
-1.700000  -0.330723
-1.600000  -0.314138
-1.500000  -0.318914
-1.400000  -0.347066
-1.300000  -0.395024
-1.200000  -0.455622
-1.100000  -0.520017
-1.000000  -0.579264
-0.900000  -0.625432
-0.800000  -0.652262
-0.700000  -0.655440
-0.600000  -0.632599
-0.500000  -0.583123
-0.400000  -0.507868
-0.300000  -0.408838
-0.200000  -0.288871
-0.100000  -0.151356
-0.000000  -0.000000
0.100000  0.161356
0.200000  0.328860
0.300000  0.498717
0.400000  0.667187
0.500000  0.830527
0.600000  0.984873
0.700000  1.126066
0.800000  1.249457
0.900000  1.349720
1.000000  1.420735
1.100000  1.455633
1.200000  1.447081
1.300000  1.387928
1.400000  1.272278
1.500000  1.096988
1.600000  0.863493
1.700000  0.579670
1.800000  0.261256
1.900000  -0.067804
2.000000  -0.376809
2.100000  -0.632096
2.200000  -0.803285
2.300000  -0.871243
2.400000  -0.836059
2.500000  -0.722287
2.600000  -0.578323
2.700000  -0.467462
2.800000  -0.450414
2.900000  -0.562643
3.000000  -0.793938
3.100000  -1.080154
3.200000  -1.315780
3.300000  -1.389413
3.400000  -1.233053
3.500000  -0.864635
3.600000  -0.398331
3.700000  -0.005776
3.800000  0.165354
3.900000  0.079317
4.000000  -0.147137
4.100000  -0.292856
4.200000  -0.161895
4.300000  0.275008
4.400000  0.829229
4.500000  1.197331
4.600000  1.176211
4.700000  0.839956
4.800000  0.516443
4.900000  0.536425
5.000000  0.933816
5.100000  1.372810
5.200000  1.424292
5.300000  0.984561
5.400000  0.424369
5.500000  0.250620
5.600000  0.563438
5.700000  0.897605
5.800000  0.710454
5.900000  0.036170
